r,id,species,sex,wing ,tail,fat,migratory,bill,
r,v78063,luscinia svecica,f,71,56,0,y,insc,
,x649893,saxicola maurus,m,72,50,,y,insc,
,x649894,acrocephalus scirpaceus,,67,50,6,y,insc,
,x649895,erithacus rubecula,,79,67,0,y,insc,
,x649896,luscinia svecica,f,74,56,0,y,insc,
,x649897,erithacus rubecula,,75,62,0,y,insc,
,x649898,saxicola torquata,m,66,47,0,y,insc,
,x649899,saxicola maurus,m,73,53,0,y,insc,
,v78684,locustela luscinialis,,71,55,1,y,insc,
,jc9396,phylloscupus collybita,,61,47,0,y,insc,* might be siberian
,x649900,saxicola torquata,m,70,50,0,y,insc,
,v78685,luscinia svecica,m,75,56,3,y,insc,
,v78686,cettia cetti,,59,57,0,n,insc,
,x649901,erithacus rubecula,,72,58,1,y,insc,
,jc9397,phylloscupus collybita,,61,48,2,y,insc,
,x649902,erithacus rubecula,,71,59,0,y,insc,
,x649903,erithacus rubecula,,74,58,0,y,insc,
,x649886,acrocephalus scirpaceus,,65,51,3,y,insc,
,x649904,erithacus rubecula,,70,56,0,y,insc,
,v78687,luscinia svecica,f,74,54,0,y,insc,
,v78688,sylvia atricapilla,f,82,64,6,y,insc,
,v78689,sylvia atricapilla,m,76,59,6,y,insc,
r,ac33363,acrocephalus arundinaceus,,,,,y,insc,
v,v78690,luscinia svecica,f,76,56,3,y,insc,
,jc9398,phylloscupus collybita,,61,49,2,y,insc,
,v78691,cettia cetti,m,69,66,0,n,insc,but probably from a migratory population
,x649905,erithacus rubecula,,73,58,0,y,insc,
